,PrevAVGCost,PrevAssignedCost,AVGCost,LatestDateCost,GenPrice,A,B,C,D,E,F,G,Category A,Category E,Subcategory A,Subcategory B,Subcategory C,Subcategory D,Subcategory E,Subcategory F,Subcategory G,Subcategory H,Subcategory I,Subcategory J,Subcategory K,Year2019,Year2020
0,27.91919192,33.0,28.54545455,20.53535354,41.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,57.33333333,63.0,56.12121212,61.83838384,92.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,50.77777778,54.0,45.13131313,50.0,76.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,45.74747475,56.0,40.52525253,38.08080808,75.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4,45.74747475,56.0,40.52525253,38.08080808,75.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,59.37373737,62.0,59.39393939,58.27272727,90.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6,39.77777778,45.0,39.11111111,39.31313131,68.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,61.22222222,70.0,0.0,0.0,99.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8,39.23232323,43.0,39.70707071,39.70707071,64.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9,48.81818182,51.0,48.35353535,49.24242424,75.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10,80.80808081,100.0,0.0,0.0,132.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12,63.75757576,64.0,56.23232323,56.68686869,79.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13,0.0,20.0,0.0,0.0,30.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
14,71.08510638,82.0,70.62765957,60.90425532,122.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15,18.19148936,26.0,17.45744681,15.15957447,34.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16,21.30526316,30.0,22.06315789,23.76842105,43.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
17,10.80357143,11.0,11.0,12.41071429,22.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18,9.918032787000001,10.0,10.09836066,11.39344262,21.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
19,23.05319149,24.0,19.63829787,21.08510638,40.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,103.0707071,104.0,110.040404,108.9292929,147.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,60.20202020000001,65.0,60.80808081,61.83838384,96.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22,40.0,40.0,0.0,0.0,61.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,0.0,18.0,27.36363636,24.91919192,40.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
24,20.15151515,21.0,20.13131313,20.04040404,34.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
25,0.0,8.0,0.0,0.0,12.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
26,38.08080808,42.0,37.36363636,30.303030300000003,55.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
27,62.66666667,66.0,65.83838384,64.37373737,93.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
28,37.04040404,40.0,42.12121212,43.4040404,65.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29,28.53535354,33.0,27.13131313,27.45454545,49.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30,29.04040404,30.0,28.43434343,31.24242424,47.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
31,90.90909091,91.0,90.90909091,0.0,123.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,63.04040404,75.0,71.06060606,79.22222222,114.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,0.0,93.0,0.0,0.0,129.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
34,61.46376812,67.0,52.42028986,58.20289855,90.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35,21.61904762,29.0,16.82142857,17.25,36.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36,18.34343434,29.0,14.27272727,14.63636364,36.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
37,19.095238100000003,29.0,18.73809524,16.71428571,37.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
38,57.97938144,71.0,68.65979381,92.6185567,138.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39,0.0,75.0,0.0,0.0,145.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40,72.69148936,130.0,44.65957447,64.73404255,118.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
41,72.69148936,130.0,44.65957447,64.73404255,118.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
42,3.747474747,3.7,3.808080808,4.04040404,6.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
43,18.56666667,23.0,17.65555556,17.76666667,33.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
44,17.40625,19.0,16.55208333,16.65625,29.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
45,17.05102041,19.0,16.21428571,16.31632653,28.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
46,18.98863636,21.0,18.05681818,18.17045455,32.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
47,20.84848485,21.0,20.2020202,20.2020202,32.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
48,0.0,95.0,52.71717172,52.71717172,102.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
49,21.26262626,22.0,17.34343434,20.2020202,30.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
50,76.49494949,77.0,92.42424242,92.65656566,139.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
51,31.03191489,37.0,27.59574468,31.59574468,61.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
52,16.19191919,34.0,17.49494949,13.86868687,43.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53,34.67708333,35.0,33.67708333,30.39583333,52.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
54,29.19791667,32.0,32.1875,32.85416667,55.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
55,100.8787879,120.0,107.1313131,99.03030303,160.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56,303.5959596,305.0,297.89898989999995,303.030303,381.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
57,46.96969697,52.0,40.81818182,36.07070707,69.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
58,58.56565657,70.0,59.13131313,59.13131313,112.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
59,40.05050505,50.0,59.96969697,69.34343434,113.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
60,40.87628866,52.0,61.20618557,70.77319588,118.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
61,37.42857143,54.0,0.0,0.0,92.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
62,31.75757576,45.0,0.0,0.0,71.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
63,18.91919192,21.0,19.76767677,21.85858586,32.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
64,18.18181818,20.0,16.98989899,17.17171717,27.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
65,51.19191919,56.0,50.53535354,50.0,77.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
66,14.24242424,15.0,17.29292929,18.25252525,27.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
67,41.66666667,49.0,46.03030303,51.18181818,87.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
68,18.303030300000003,19.0,21.11111111,22.101010100000003,33.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
