SKU,date,PrevAVGCost,PrevAssignedCost,AVGCost,LatestDateCost,Type,GenPrice
A-A-00001,2019-01-04,27.91919192,33.0,28.54545455,20.53535354,A,41.0
A-B-00001,2019-01-04,57.33333333,63.0,56.12121212,61.83838384,A,92.0
A-B-00002,2019-01-04,50.77777778,54.0,45.13131313,50.0,A,76.0
A-C-00001,2019-01-04,45.74747475,56.0,40.52525253,38.08080808,B,75.0
A-C-00019,2019-01-04,45.74747475,56.0,40.52525253,38.08080808,B,75.0
A-C-00007,2019-01-04,59.37373737,62.0,59.39393939,58.27272727,B,90.0
A-C-00002,2019-01-04,39.77777778,45.0,39.11111111,39.31313131,B,68.0
A-C-00010,2019-01-04,61.22222222,70.0,0.0,0.0,B,99.0
A-C-00003,2019-01-04,39.23232323,43.0,39.70707071,39.70707071,B,64.0
A-C-00021,2019-01-04,48.81818182,51.0,48.35353535,49.24242424,B,75.0
A-C-00022,2019-01-04,80.80808081,100.0,0.0,0.0,B,132.0
A-C-00006,2019-01-04,,,,,A,
A-C-00014,2019-01-04,63.75757576,64.0,56.23232323,56.68686869,B,79.0
A-D-00135,2019-01-04,0.0,20.0,0.0,0.0,A,30.0
A-E-00001,2019-01-04,71.08510638,82.0,70.62765957,60.90425532,C,122.0
A-E-00002,2019-01-04,18.19148936,26.0,17.45744681,15.15957447,A,34.0
A-E-00004,2019-01-04,21.30526316,30.0,22.06315789,23.76842105,A,43.0
A-D-00090,2019-01-04,10.80357143,11.0,11.0,12.41071429,A,22.0
A-D-00113,2019-01-04,9.918032787000001,10.0,10.09836066,11.39344262,A,21.0
A-D-00004,2019-01-04,23.05319149,24.0,19.63829787,21.08510638,C,40.0
A-F-00008,2019-01-04,103.07070709999999,104.0,110.04040400000001,108.92929290000001,C,147.0
A-B-00004,2019-01-04,60.20202020000001,65.0,60.80808081,61.83838384,A,96.0
A-B-00005,2019-01-04,40.0,40.0,0.0,0.0,A,61.0
A-B-00006,2019-01-04,0.0,18.0,27.36363636,24.91919192,A,40.0
A-A-00003,2019-01-04,20.15151515,21.0,20.13131313,20.04040404,A,34.0
A-A-00004,2019-01-04,0.0,8.0,0.0,0.0,D,12.0
A-A-00005,2019-01-04,38.08080808,42.0,37.36363636,30.303030300000003,A,55.0
A-A-00007,2019-01-04,62.66666667,66.0,65.83838384,64.37373737,A,93.0
A-B-00007,2019-01-04,37.04040404,40.0,42.12121212,43.4040404,A,65.0
A-B-00008,2019-01-04,28.53535354,33.0,27.13131313,27.45454545,A,49.0
A-B-00009,2019-01-04,29.04040404,30.0,28.43434343,31.24242424,A,47.0
A-B-00031,2019-01-04,90.90909091,91.0,90.90909091,0.0,A,123.0
A-B-00010,2019-01-04,63.04040404,75.0,71.06060606,79.22222222,A,114.0
